dataset,model,drift_type,intensity,xai_method,clean_acc,drifted_acc,SSIM,IoU,MSE,Pearson,Cosine,IoU@0.3,IoU@0.5,IoU@0.7,SSIM_ci_low,SSIM_ci_high,SSIM_wilcoxon_p,SSIM_paired_t_p,SSIM_cohens_d,IoU_ci_low,IoU_ci_high,IoU_wilcoxon_p,IoU_cohens_d,n_images,KS_p,AD_p,Welch_p,Wilcoxon_p
cifar10,densenet121,noise,0.0,gradcam,0.859375,0.859375,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,640,1.0,0.25,1.0,1.0
cifar10,densenet121,noise,0.0,gradcampp,0.859375,0.859375,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,640,1.0,0.25,1.0,1.0
cifar10,densenet121,noise,0.0,gradcam_vs_gradcampp,0.859375,0.859375,0.0,,,,,,,,,,1.0,,0.0,,,,,640,,,,
cifar10,densenet121,noise,1e-06,gradcam,0.859375,0.859375,0.9998471342038208,0.9985494927518804,5.250042021074177e-06,0.9999843276499631,0.9999928782485596,0.9988758175933315,0.9985494927518804,0.9989127528675744,0.999735508728676,0.9999322710794084,7.990256867566729e-47,0.002332748622409,0.1208190152105599,0.9977445873758516,0.9991262760498432,5.569057606246827e-17,0.1605410224345864,640,0.9939890112863632,0.25,0.918057512889089,0.915606642789446
cifar10,densenet121,noise,1e-06,gradcampp,0.859375,0.859375,0.9998530883315164,0.9987592965203111,6.636244578662442e-06,0.9999824651736832,0.9999919689962072,0.9993028913419312,0.9987592965203111,0.9987684957633812,0.999643309799408,0.999975675124535,1.3507136166376421e-42,0.0937923962244607,0.0663376143916304,0.9976766847203048,0.9994596899992046,7.574425206044519e-12,0.1068568660655121,640,0.9931553173855268,0.25,0.9028546290522986,0.92227789565552
cifar10,densenet121,noise,1e-06,gradcam_vs_gradcampp,0.859375,0.859375,5.954127695662059e-06,,,,,,,,,,0.0002152640783164,,0.0025141887861894,,,,,640,,,,
cifar10,densenet121,noise,1e-05,gradcam,0.859375,0.859375,0.999886059282298,0.998816660441278,3.937596619941691e-06,0.9999887049740472,0.9999945532706906,0.9987479436749686,0.998816660441278,0.998595466977674,0.9997900181077146,0.9999570522126714,8.704842186147042e-57,0.0086311362503062,0.1041364690023679,0.9984790555883414,0.9991323791183456,8.5292481185700915e-19,0.2761667634130352,640,0.9876433667779152,0.25,0.9493668063731592,0.954006826699184
cifar10,densenet121,noise,1e-05,gradcampp,0.859375,0.859375,0.9999656414373408,0.999286104998065,1.3680609603662976e-06,0.9999965395130024,0.9999986512629178,0.9996093040124514,0.999286104998065,0.9992253947453632,0.9999395293115017,0.999984744176418,3.009169177276703e-40,0.0028138791951474,0.1185463575906221,0.9990184748899796,0.9995210046550296,2.403819276033365e-12,0.2244038481288354,640,0.9999984499975734,0.25,0.976322346321991,0.9847960816808145
cifar10,densenet121,noise,1e-05,gradcam_vs_gradcampp,0.859375,0.859375,7.95821550428899e-05,,,,,,,,,,3.2841628076246147e-09,,0.0726529661954298,,,,,640,,,,
cifar10,densenet121,noise,0.0001,gradcam,0.859375,0.859375,0.9998246617509142,0.9974680194381296,1.0093048891066412e-05,0.9999678152594588,0.9999881080710292,0.9985781213156656,0.9974680194381296,0.9960869602100164,0.9997195264865084,0.9999079546702032,3.1043870738757203e-86,0.0001608012182175,0.1500654800636729,0.9964063424247852,0.998312096318929,1.4764859432371776e-24,0.2055042616893903,640,0.9667232593660338,0.25,0.8368200662697449,0.8523303415540571
cifar10,densenet121,noise,0.0001,gradcampp,0.859375,0.859375,0.999901453493929,0.998702755648808,4.0637598762157246e-06,0.9999856750518824,0.999994345085272,0.998745500466027,0.998702755648808,0.9985061172943676,0.999830489056185,0.9999537174583388,5.0581804358746545e-68,0.003600170782001,0.1155042476689015,0.9981851292091332,0.9991297377669648,8.526134965149005e-19,0.2147157069852148,640,0.9998885426682266,0.25,0.999833811698682,0.9763601891217198
cifar10,densenet121,noise,0.0001,gradcam_vs_gradcampp,0.859375,0.859375,7.679174301478131e-05,,,,,,,,,,5.060753251476166e-10,,0.0547157567208725,,,,,640,,,,
cifar10,densenet121,noise,0.001,gradcam,0.859375,0.859375,0.9964084916655036,0.990787115023894,0.0005778825345551,0.9972502128150678,0.9989579705972172,0.9930684868400184,0.990787115023894,0.988410868568776,0.9920165578761588,0.9987311369303468,3.469714360402074e-105,0.064126408662378,0.0733060303799057,0.9867869150027688,0.9934410401553274,5.652840382693226e-58,0.2170619030751076,640,0.1784145423978497,0.25,0.8786391869641091,0.8955442778944902
