dataset,model,drift_type,intensity,xai_method,clean_acc,drifted_acc,SSIM,IoU,MSE,Pearson,Cosine,IoU@0.3,IoU@0.5,IoU@0.7,SSIM_ci_low,SSIM_ci_high,SSIM_wilcoxon_p,SSIM_paired_t_p,SSIM_cohens_d,IoU_ci_low,IoU_ci_high,IoU_wilcoxon_p,IoU_cohens_d,n_images,KS_p,AD_p,Welch_p,Wilcoxon_p
tiny_imagenet,shufflenet_v2,noise,0.0001,gradcampp,0.5375,0.5375,0.9998949204165406,0.9933948870528073,6.567910730234834e-06,0.9999576844680444,0.9999892740636479,0.995528229198413,0.9933948870528073,0.9907841977188697,0.9998733587409975,0.9999134620417683,5.771017502745275e-106,1.9533713606229508e-22,0.4001003181696984,0.9925440105083655,0.9941904784330646,8.683415731952869e-84,0.6157344746988465,640,0.9936926611621119,0.25,0.8870682117718542,0.8637648116161214
tiny_imagenet,shufflenet_v2,noise,0.0001,gradcam_vs_gradcampp,0.5375,0.5375,0.0038838450709327565,,,,,,,,,,1.9461176641378246e-70,,0.18780158744919304,,,,,640,,,,
tiny_imagenet,shufflenet_v2,noise,0.001,gradcam,0.5375,0.5375,0.9813604082583431,0.9088948621899073,0.0013042881144520939,0.9439462713006165,0.9476903962822855,0.9140459644925706,0.9088948621899073,0.8988505302792923,0.9748934397295179,0.9866602767118277,5.638299172458816e-100,4.2707537981408545e-10,0.2507209941746378,0.8909764287986557,0.9254413430329923,2.91376366437448e-93,0.4154245583977537,640,0.19045727315348215,0.20601035345792104,0.8167410164162532,0.6935854013668179
tiny_imagenet,shufflenet_v2,noise,0.001,gradcampp,0.5375,0.5375,0.9968667690241304,0.9748755479638298,0.00032762887019144316,0.9972186979078694,0.9995413444132435,0.984383319899272,0.9748755479638298,0.9636477820542755,0.9942987621464972,0.9987320064322933,1.7709580491810596e-106,0.008473344502341789,0.10438657327293334,0.9712222991607582,0.9780650143602082,7.589406283514003e-105,0.5687786404457285,640,0.3393783737146385,0.25,0.7514694185412965,0.8742045853027015
tiny_imagenet,shufflenet_v2,noise,0.001,gradcam_vs_gradcampp,0.5375,0.5375,0.015506360765787264,,,,,,,,,,2.30372739615548e-78,,0.30815942510905403,,,,,640,,,,
tiny_imagenet,shufflenet_v2,noise,0.01,gradcam,0.5375,0.5390625,0.8958617811254896,0.7902929840243214,0.009521269805657442,0.8912224098860634,0.9119783915737866,0.8084909891102052,0.7902929840243214,0.7634916632908244,0.8826993770376441,0.9092555437712939,9.711247818892076e-103,7.503833306342501e-44,0.593379371559581,0.7688910326663695,0.8115364010678143,5.545210903707208e-99,0.7775961036291349,640,4.241109184450062e-37,0.001,7.738031843328924e-32,2.5535196148066984e-25
tiny_imagenet,shufflenet_v2,noise,0.01,gradcampp,0.5375,0.5390625,0.9797454392864242,0.9080191263540864,0.0018930275767417015,0.9839312740540975,0.9967230281001311,0.9398132565503043,0.9080191263540864,0.8786771299831164,0.974963835301741,0.984605203292558,1.7709580491810596e-106,3.7963110005834196e-15,0.31854927776912373,0.9001396460048946,0.9157240440578136,1.770941016307645e-106,0.9132516629248258,640,5.727323234696603e-06,0.004319833974777918,0.10335553345844259,0.03416420300428166
tiny_imagenet,shufflenet_v2,noise,0.01,gradcam_vs_gradcampp,0.5375,0.5390625,0.08388365816093457,,,,,,,,,,4.868389653698089e-90,,0.6301738251610165,,,,,640,,,,
tiny_imagenet,shufflenet_v2,noise,0.05,gradcam,0.5375,0.521875,0.6309206845312024,0.4829333605801115,0.0437509353798319,0.6385913838586136,0.7516345988246926,0.5436646837973027,0.4829333605801115,0.4332066784392728,0.6090187121006827,0.6520633348264201,5.219588387573407e-103,2.1377935731027797e-140,1.3061627893931846,0.45869392147740395,0.5078063456827058,1.1767493706829027e-103,1.6120940603186662,640,0.0,0.001,5.742462992940164e-118,1.7777492792205818e-287
tiny_imagenet,shufflenet_v2,noise,0.05,gradcampp,0.5375,0.521875,0.8532414729249063,0.6884001927010021,0.014269783349459431,0.8871385795862696,0.9756729330884886,0.8045831903758718,0.6884001927010021,0.6261640485473725,0.8414628174920171,0.8642769089082013,1.7709580491810596e-106,1.0141448967482274e-95,0.9809817131997994,0.6734790762354183,0.702531763561779,1.7709531826291825e-106,1.6495862431748411,640,2.1861379133553413e-247,0.001,5.935164590904059e-217,1.309450839252549e-250
tiny_imagenet,shufflenet_v2,noise,0.05,gradcam_vs_gradcampp,0.5375,0.521875,0.22232078839370384,,,,,,,,,,1.2936534110350293e-89,,1.0637823859050821,,,,,640,,,,
tiny_imagenet,shufflenet_v2,noise,0.1,gradcam,0.5375,0.44375,0.3962024362957335,0.2566067583636803,0.09051171601282845,0.33494615902952934,0.5552976784798263,0.3320164054415903,0.2566067583636803,0.21175173391203841,0.37325789284525646,0.41898103179673296,2.3433045714140064e-104,3.444637810049015e-232,2.0591781956513193,0.23476109484326796,0.277948596988676,2.6458830766487614e-106,2.7115445301419556,640,0.0,0.001,0.0,0.0
tiny_imagenet,shufflenet_v2,noise,0.1,gradcampp,0.5375,0.44375,0.7066891923548517,0.539163260987235,0.030856834421047096,0.7403421180429415,0.9459298935486672,0.703803165353168,0.539163260987235,0.4424191353282348,0.6924102843323102,0.7207121216687429,1.7709580491810596e-106,5.525418670147418e-180,1.611901682928153,0.5233838721273129,0.554497039566111,1.7709556159034997e-106,2.2785204684608056,640,0.0,0.001,0.0,0.0
tiny_imagenet,shufflenet_v2,noise,0.1,gradcam_vs_gradcampp,0.5375,0.44375,0.31048675605911824,,,,,,,,,,1.0163590557106114e-94,,1.3757298142677947,,,,,640,,,,
tiny_imagenet,shufflenet_v2,noise,0.2,gradcam,0.5375,0.20625,0.2163135442673007,0.1186865144821311,0.140555091385977,0.06526506756425259,0.39668655854181445,0.19522328303963443,0.1186865144821311,0.08228409294291372,0.19804725341549023,0.2351267966852442,1.1593246577307139e-105,0.0,3.2979992896345265,0.10514868823665141,0.1326458479555413,1.2596081214601567e-108,5.08171788393303,640,0.0,0.001,0.0,1.7744490114836398e-98
