dataset,model,drift_type,intensity,xai_method,clean_acc,drifted_acc,SSIM,IoU,MSE,KS_p,AD_p,Welch_p,Wilcoxon_p
cifar10,shufflenet_v2,blur,0.4,gradcampp,0.79375,0.2953125,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,blur,0.5,gradcam,0.79375,0.2953125,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,blur,0.5,gradcampp,0.79375,0.2953125,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,0.0,gradcam,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,0.0,gradcampp,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,1e-06,gradcam,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,1e-06,gradcampp,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,1e-05,gradcam,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,1e-05,gradcampp,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,0.0001,gradcam,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,0.0001,gradcampp,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,0.001,gradcam,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,0.001,gradcampp,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,0.01,gradcam,0.79375,0.7984375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,0.01,gradcampp,0.79375,0.7984375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,0.05,gradcam,0.79375,0.796875,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,0.05,gradcampp,0.79375,0.796875,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,0.1,gradcam,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,0.1,gradcampp,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,0.2,gradcam,0.79375,0.7765625,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,0.2,gradcampp,0.79375,0.7765625,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,0.3,gradcam,0.79375,0.759375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,0.3,gradcampp,0.79375,0.759375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,0.4,gradcam,0.79375,0.75,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,0.4,gradcampp,0.79375,0.75,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,0.5,gradcam,0.79375,0.7421875,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,brightness,0.5,gradcampp,0.79375,0.7421875,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,0.0,gradcam,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,0.0,gradcampp,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,1e-06,gradcam,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,1e-06,gradcampp,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,1e-05,gradcam,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,1e-05,gradcampp,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,0.0001,gradcam,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,0.0001,gradcampp,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,0.001,gradcam,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,0.001,gradcampp,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,0.01,gradcam,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,0.01,gradcampp,0.79375,0.79375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,0.05,gradcam,0.79375,0.7921875,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,0.05,gradcampp,0.79375,0.7921875,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,0.1,gradcam,0.79375,0.7859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,0.1,gradcampp,0.79375,0.7859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,0.2,gradcam,0.79375,0.7578125,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,0.2,gradcampp,0.79375,0.7578125,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,0.3,gradcam,0.79375,0.734375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,0.3,gradcampp,0.79375,0.734375,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,0.4,gradcam,0.79375,0.725,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,0.4,gradcampp,0.79375,0.725,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,0.5,gradcam,0.79375,0.7,1.0,0.0,0.0,1.0,,,1.0
cifar10,shufflenet_v2,rotation,0.5,gradcampp,0.79375,0.7,1.0,0.0,0.0,1.0,,,1.0
