dataset,model,drift_type,intensity,xai_method,clean_acc,drifted_acc,SSIM,IoU,MSE,Pearson,Cosine,IoU@0.3,IoU@0.5,IoU@0.7,SSIM_ci_low,SSIM_ci_high,SSIM_wilcoxon_p,SSIM_paired_t_p,SSIM_cohens_d,IoU_ci_low,IoU_ci_high,IoU_wilcoxon_p,IoU_cohens_d,n_images,KS_p,AD_p,Welch_p,Wilcoxon_p
tiny_imagenet,resnet18,noise,0.5,gradcampp,0.4015625,0.009375,0.42636677652762156,0.32623726998633196,0.08254321785098,0.29833317954081007,0.8538774697927911,0.5984092513052499,0.32623726998633196,0.1702876273451803,0.4123726821499911,0.4401240992843048,1.7709580491810596e-106,0.0,3.2298041051310453,0.31333232060485694,0.3398254539134178,1.7695959325587746e-106,3.7531139861692226,640,0.0,0.001,0.0,0.0
tiny_imagenet,resnet18,noise,0.5,gradcam_vs_gradcampp,0.4015625,0.009375,0.23746541091570833,,,,,,,,,,3.4314010679947867e-93,,1.2706339733065846,,,,,640,,,,
tiny_imagenet,resnet18,blur,0.0,gradcam,0.4015625,0.4015625,1.0,0.9984375,0.0,0.9984375,0.9984375,0.9984375,0.9984375,0.9984375,1.0,1.0,1.0,1.0,0.0,0.9953125,1.0,0.31731050786291415,0.03952847075210474,640,1.0,0.25,1.0,1.0
tiny_imagenet,resnet18,blur,0.0,gradcampp,0.4015625,0.4015625,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,640,1.0,0.25,1.0,1.0
tiny_imagenet,resnet18,blur,0.0,gradcam_vs_gradcampp,0.4015625,0.4015625,0.0,,,,,,,,,,1.0,,0.0,,,,,640,,,,
tiny_imagenet,resnet18,blur,1e-06,gradcam,0.4015625,0.165625,0.3310656289551584,0.3014512344395843,0.10121640114939509,0.33492877257189524,0.6946604737246954,0.4158696877338194,0.3014512344395843,0.22194831789414532,0.31034952389473913,0.35245938333996724,1.7709580491810596e-106,2.3484758754093292e-271,2.4388710349110525,0.28230348606786587,0.3215606812922299,1.601546873672469e-106,2.782597582418924,640,3.352516173959148e-155,0.001,2.1393175598579565e-105,2.7229074580281164e-31
tiny_imagenet,resnet18,blur,1e-06,gradcampp,0.4015625,0.165625,0.6901838371008739,0.5276018065280417,0.036835433106989515,0.7052145437559943,0.9385922485721332,0.7200114668408915,0.5276018065280417,0.40346958751150214,0.6766790373278897,0.7035988227209035,1.7709580491810596e-106,2.844290211646539e-198,1.7619975595055772,0.5120949834616569,0.5429974434961569,1.7709556159034997e-106,2.335573076025314,640,0.0,0.001,0.0,0.0
tiny_imagenet,resnet18,blur,1e-06,gradcam_vs_gradcampp,0.4015625,0.165625,0.35911820814571555,,,,,,,,,,2.4242201837494533e-105,,1.7930208017167055,,,,,640,,,,
tiny_imagenet,resnet18,blur,1e-05,gradcam,0.4015625,0.165625,0.3310656289551584,0.3014512344395843,0.10121640114939509,0.33492877257189524,0.6946604737246954,0.4158696877338194,0.3014512344395843,0.22194831789414532,0.31034952389473913,0.35245938333996724,1.7709580491810596e-106,2.3484758754093292e-271,2.4388710349110525,0.28230348606786587,0.3215606812922299,1.601546873672469e-106,2.782597582418924,640,3.352516173959148e-155,0.001,2.1393175598579565e-105,2.7229074580281164e-31
tiny_imagenet,resnet18,blur,1e-05,gradcampp,0.4015625,0.165625,0.6901838371008739,0.5276018065280417,0.036835433106989515,0.7052145437559943,0.9385922485721332,0.7200114668408915,0.5276018065280417,0.40346958751150214,0.6766790373278897,0.7035988227209035,1.7709580491810596e-106,2.844290211646539e-198,1.7619975595055772,0.5120949834616569,0.5429974434961569,1.7709556159034997e-106,2.335573076025314,640,0.0,0.001,0.0,0.0
