dataset,model,drift_type,intensity,xai_method,clean_acc,drifted_acc,SSIM,IoU,MSE,KS_p,AD_p,Welch_p,Wilcoxon_p
cifar10,resnet18,brightness,0.0,gradcampp,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,1e-06,gradcam,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,1e-06,gradcampp,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,1e-05,gradcam,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,1e-05,gradcampp,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,0.0001,gradcam,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,0.0001,gradcampp,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,0.001,gradcam,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,0.001,gradcampp,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,0.01,gradcam,0.840625,0.8421875,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,0.01,gradcampp,0.840625,0.8421875,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,0.05,gradcam,0.840625,0.8375,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,0.05,gradcampp,0.840625,0.8375,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,0.1,gradcam,0.840625,0.8375,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,0.1,gradcampp,0.840625,0.8375,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,0.2,gradcam,0.840625,0.81875,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,0.2,gradcampp,0.840625,0.81875,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,0.3,gradcam,0.840625,0.80625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,0.3,gradcampp,0.840625,0.80625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,0.4,gradcam,0.840625,0.7953125,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,0.4,gradcampp,0.840625,0.7953125,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,0.5,gradcam,0.840625,0.7921875,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,brightness,0.5,gradcampp,0.840625,0.7921875,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,0.0,gradcam,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,0.0,gradcampp,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,1e-06,gradcam,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,1e-06,gradcampp,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,1e-05,gradcam,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,1e-05,gradcampp,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,0.0001,gradcam,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,0.0001,gradcampp,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,0.001,gradcam,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,0.001,gradcampp,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,0.01,gradcam,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,0.01,gradcampp,0.840625,0.840625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,0.05,gradcam,0.840625,0.8359375,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,0.05,gradcampp,0.840625,0.8359375,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,0.1,gradcam,0.840625,0.8296875,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,0.1,gradcampp,0.840625,0.8296875,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,0.2,gradcam,0.840625,0.825,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,0.2,gradcampp,0.840625,0.825,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,0.3,gradcam,0.840625,0.790625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,0.3,gradcampp,0.840625,0.790625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,0.4,gradcam,0.840625,0.6921875,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,0.4,gradcampp,0.840625,0.6921875,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,0.5,gradcam,0.840625,0.7390625,1.0,0.0,0.0,1.0,,,1.0
cifar10,resnet18,rotation,0.5,gradcampp,0.840625,0.7390625,1.0,0.0,0.0,1.0,,,1.0
