dataset,model,drift_type,intensity,xai_method,clean_acc,drifted_acc,SSIM,IoU,MSE,KS_p,AD_p,Welch_p,Wilcoxon_p
cifar10,densenet121,brightness,0.0,gradcampp,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,1e-06,gradcam,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,1e-06,gradcampp,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,1e-05,gradcam,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,1e-05,gradcampp,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,0.0001,gradcam,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,0.0001,gradcampp,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,0.001,gradcam,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,0.001,gradcampp,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,0.01,gradcam,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,0.01,gradcampp,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,0.05,gradcam,0.859375,0.8671875,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,0.05,gradcampp,0.859375,0.8671875,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,0.1,gradcam,0.859375,0.8703125,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,0.1,gradcampp,0.859375,0.8703125,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,0.2,gradcam,0.859375,0.8609375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,0.2,gradcampp,0.859375,0.8609375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,0.3,gradcam,0.859375,0.8421875,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,0.3,gradcampp,0.859375,0.8421875,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,0.4,gradcam,0.859375,0.8375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,0.4,gradcampp,0.859375,0.8375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,0.5,gradcam,0.859375,0.8234375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,brightness,0.5,gradcampp,0.859375,0.8234375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,0.0,gradcam,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,0.0,gradcampp,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,1e-06,gradcam,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,1e-06,gradcampp,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,1e-05,gradcam,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,1e-05,gradcampp,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,0.0001,gradcam,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,0.0001,gradcampp,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,0.001,gradcam,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,0.001,gradcampp,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,0.01,gradcam,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,0.01,gradcampp,0.859375,0.859375,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,0.05,gradcam,0.859375,0.8625,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,0.05,gradcampp,0.859375,0.8625,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,0.1,gradcam,0.859375,0.846875,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,0.1,gradcampp,0.859375,0.846875,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,0.2,gradcam,0.859375,0.8265625,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,0.2,gradcampp,0.859375,0.8265625,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,0.3,gradcam,0.859375,0.7765625,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,0.3,gradcampp,0.859375,0.7765625,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,0.4,gradcam,0.859375,0.8171875,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,0.4,gradcampp,0.859375,0.8171875,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,0.5,gradcam,0.859375,0.7296875,1.0,0.0,0.0,1.0,,,1.0
cifar10,densenet121,rotation,0.5,gradcampp,0.859375,0.7296875,1.0,0.0,0.0,1.0,,,1.0
