dataset,model,drift_type,intensity,xai_method,clean_acc,drifted_acc,SSIM,IoU,MSE,Pearson,Cosine,IoU@0.3,IoU@0.5,IoU@0.7,SSIM_ci_low,SSIM_ci_high,SSIM_wilcoxon_p,SSIM_paired_t_p,SSIM_cohens_d,IoU_ci_low,IoU_ci_high,IoU_wilcoxon_p,IoU_cohens_d,n_images,KS_p,AD_p,Welch_p,Wilcoxon_p
tiny_imagenet,densenet121,noise,0.0,gradcam,0.5984375,0.5984375,1.0,0.9984375,0.0,0.9984375,0.9984375,0.9984375,0.9984375,0.9984375,1.0,1.0,1.0,1.0,0.0,0.9953125,1.0,0.31731050786291415,0.039528470752104736,640,1.0,0.25,1.0,1.0
tiny_imagenet,densenet121,noise,0.0,gradcampp,0.5984375,0.5984375,1.0,0.496875,0.0,0.496875,0.496875,0.496875,0.496875,0.496875,1.0,1.0,1.0,1.0,0.0,0.45625,0.534375,5.31204949856083e-72,1.0054831983997303,640,1.0,0.25,1.0,1.0
tiny_imagenet,densenet121,noise,0.0,gradcam_vs_gradcampp,0.5984375,0.5984375,0.0,,,,,,,,,,1.0,,0.0,,,,,640,,,,
tiny_imagenet,densenet121,noise,1e-06,gradcam,0.5984375,0.5984375,0.9996202129018578,0.9919662637537264,7.656505298334754e-06,0.9983981079247544,0.998419750784939,0.9940860142183684,0.9919662637537264,0.9898100422877849,0.9994719112155617,0.9997387367813505,6.448707465708253e-106,4.443581578676338e-08,0.21895614038053843,0.988175643712939,0.9942119619329797,6.246931895918963e-85,0.19548329440522472,640,0.2840187132463887,0.25,0.7546750745042066,0.5956709035405484
tiny_imagenet,densenet121,noise,1e-06,gradcampp,0.5984375,0.5984375,0.9947214902440209,0.4863911818900061,0.0005847955488038956,0.4907851371578184,0.4910980447864387,0.4865788478758205,0.4863911818900061,0.4858029203762554,0.9908548361080352,0.9977616218151936,4.0758146367197446e-36,0.00232091942967253,0.12088013932739487,0.44787764953000253,0.5234236276702822,3.475755251056947e-79,1.0354077278944158,640,0.010718734683262357,0.0020294822156742697,7.450439710245033e-06,0.10038139051251196
tiny_imagenet,densenet121,noise,1e-06,gradcam_vs_gradcampp,0.5984375,0.5984375,-0.0048987226578368626,,,,,,,,,,4.153638294456621e-35,,-0.11226989615097611,,,,,640,,,,
tiny_imagenet,densenet121,noise,1e-05,gradcam,0.5984375,0.5984375,0.9994994020125187,0.989886426341337,1.150769068479305e-05,0.9983755812510928,0.9984085765784411,0.993174395490372,0.989886426341337,0.9887895700401289,0.9992771510628317,0.9996592616338844,5.786015982966325e-106,4.2200147208507433e-07,0.20206411295026946,0.9859035470915095,0.9925659102654524,5.422589806021076e-90,0.22915034354709204,640,0.8152583169497156,0.25,0.6677173997710018,0.58385222115967
tiny_imagenet,densenet121,noise,1e-05,gradcampp,0.5984375,0.5984375,0.9933443209757804,0.48512046655775815,0.0008558392226063619,0.48935050028941296,0.49025222126581997,0.4853562327187756,0.48512046655775815,0.48385068862689573,0.9886743246499478,0.9970911934649015,1.4668585223480276e-36,0.0027253888196101003,0.1189361431283087,0.4462058451712014,0.5231226926342764,2.712534868973613e-80,1.038404506694248,640,0.6484904919578491,0.07157345094082282,0.12462362323359229,0.28581211793180417
tiny_imagenet,densenet121,noise,1e-05,gradcam_vs_gradcampp,0.5984375,0.5984375,-0.006155081036738341,,,,,,,,,,3.168967958984767e-30,,-0.10989367427086201,,,,,640,,,,
tiny_imagenet,densenet121,noise,0.0001,gradcam,0.5984375,0.5984375,0.9990145921414246,0.9892756877281463,1.558794033267169e-05,0.9983568419754928,0.9983959896406971,0.9921296720665657,0.9892756877281463,0.9867114089245923,0.9984267902411732,0.9994335517641619,5.467705666639848e-106,0.00019333740458992146,0.1482081379608149,0.9852889618877291,0.9919731846379213,6.548631587585784e-94,0.24934558258336667,640,0.9349711493223958,0.25,0.9614792233554855,0.912429457610201
tiny_imagenet,densenet121,noise,0.0001,gradcampp,0.5984375,0.5984375,0.9908022224006686,0.4797311400063723,0.0010890713731619018,0.48607677723775683,0.4871403485037099,0.48035235824242195,0.4797311400063723,0.47867115312268815,0.9859109441802618,0.9950602735500114,9.338279025003038e-37,0.00012733993388421055,0.1523894650871536,0.4405207169494398,0.5178526441676883,2.793638554613956e-81,1.053308309303524,640,6.7396675334524315e-06,0.001,2.5746237324189798e-06,0.0017572500211767096
tiny_imagenet,densenet121,noise,0.0001,gradcam_vs_gradcampp,0.5984375,0.5984375,-0.00821236974075601,,,,,,,,,,1.025815844249149e-32,,-0.1352216630975906,,,,,640,,,,
